,abstract,title,ground truth venue,predicted_venue_1,predicted_venue_2,predicted_venue_3,predicted_venue_4,predicted_venue_5,predicted_venue_6,predicted_venue_7,predicted_venue_8,predicted_venue_9,predicted_venue_10,predicted_venue_11,predicted_venue_12,predicted_venue_13,predicted_venue_14,predicted_venue_15
0," during the last few years , users unk over the world have become more and more accustomed to the availability this has boosted the use of a wide variety both of established and recent multimedia applications . however , there are cases where it is too expensive for network providers to serve a community of users . this is typically the case in rural and suburban areas , where there is slow deployment ( or no deployment in those cases , the most promising opportunity rests with broadband wireless access technologies , such as the ieee 802.16 one of the features of the mac layer of 802.16 is that it is designed to differentiate service among traffic this article focuses on mechanisms that are available in an 802.16 system to support quality of service ( qos ) ", quality of service support in ieee 802.16 networks ,IEEE Network: The Magazine of Global Internetworking,IEEE Communications Magazine,IEEE Wireless Communications,IEEE Network: The Magazine of Global Internetworking,Computer Communications,Wireless Personal Communications: An International Journal,Computer Networks: The International Journal of Computer and Telecommunications Networking,Mobile Networks and Applications,Wireless Networks,Journal of Network and Computer Applications,Information Systems Frontiers,IEEE Internet Computing,IEEE Journal on Selected Areas in Communications,MILCOM'06 Proceedings of the 2006 IEEE conference on Military communications,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,IEEE Transactions on Mobile Computing
1," the letter proposes a novel unk digital image watermarking scheme resisting the permutation attack . the unk watermarking schemes have drawn great attention for their convenience and effectiveness in recent years , but the traditional in this letter , the watermark information is embedded in the average values of the unk dwt coefficients to resist the concrete embedding process is achieved by the quantization-based method . experimental results show that the proposed scheme can resist not only the permutation attack but also some common image processing ", a unk digital image watermarking scheme resistant to permutation attack ,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Fundamenta Informaticae,Journal of Systems and Software,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",IEICE - Transactions on Information and Systems,Pattern Recognition Letters,ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists,Pattern Recognition,Computers and Electrical Engineering,Applied Mathematics and Computation,Information Sciences: an International Journal,ICICIC '08 Proceedings of the 2008 3rd International Conference on Innovative Computing Information and Control,"WiCOM'09 Proceedings of the 5th International Conference on Wireless communications, networking and mobile computing",Information Processing Letters,Computer Standards & Interfaces,IEEE Transactions on Circuits and Systems for Video Technology
2," based on frequency-domain unk techniques combined with an optimal model-order selection , this modeling method efficiently simulates microwave unk . a broadband microwave receiver ( with astronomical applications ) is modeled and simulated to illustrate the technique . this particular receiver is a challenging case because it samples cosmic microwave background ( unk ) low-power broadband ( unk ", frequency-domain identification and model-order selection for efficiently simulating microwave unk ,Computing in Science and Engineering,EURASIP Journal on Applied Signal Processing,IEEE Transactions on Signal Processing,IEEE Journal on Selected Areas in Communications,MILCOM'06 Proceedings of the 2006 IEEE conference on Military communications,IEEE Communications Magazine,"ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing","ICASSP '91 Proceedings of the Acoustics, Speech, and Signal Processing, 1991. ICASSP-91., 1991 International Conference",Analog Integrated Circuits and Signal Processing,"IEEE Transactions on Audio, Speech, and Language Processing",Journal of Signal Processing Systems,IEEE Transactions on Wireless Communications,Digital Signal Processing,International Journal of Remote Sensing,Wireless Personal Communications: An International Journal,IEEE Transactions on Consumer Electronics
3," motivation : a plugin for the java-based unk pathway editor has been developed to help users draw diagrams of unk together with the core unk application , this plugin presents a simple to use and cross-platform application for the construction this tool extends the capabilities of the unk pathway editor by providing both unk glyphs and support for a unk availability : the unk plugin is freely available and works with versions of unk unk and later on windows , information about mim notation and the unk format is available at http : unk . the plugin , along with diagram examples , instructions and java source code , may be downloaded at http : contact : unk @ unk ; unk @ unk supplementary information : supplementary data are available at bioinformatics online . ", unk ,Bioinformatics,Bioinformatics,Software—Practice & Experience,International Journal of RF and Microwave Computer-Aided Engineering,Computational Biology and Chemistry,Random Structures & Algorithms,ACM Transactions on Graphics (TOG),Journal of the American Society for Information Science and Technology,Computer Methods and Programs in Biomedicine,IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB),Journal of Graph Theory,Journal of Systems and Software,Pattern Recognition,Pattern Recognition Letters,ACM Transactions on Design Automation of Electronic Systems (TODAES),Mathematics and Computers in Simulation
4," two of the most used tools in the area of computer security are the firewalls and the intrusion detection systems both of them fulfill the task for which they were designed for but unfortunately their response to an attack can the communication of both tools increases the response capacity of the system , but we need a protocol to communicate in this paper we present how is to communicate two security tools : snort and unk . the communication is based on the intrusion detection message exchange format ( unk ) proposed by the intrusion detection working ", an example of communication between security tools : unk - snort ,ACM SIGOPS Operating Systems Review,Computer Communications,Journal of Network and Computer Applications,Journal of Computing Sciences in Colleges,ACM SIGOPS Operating Systems Review,IEEE Transactions on Consumer Electronics,Computer Standards & Interfaces,Wireless Personal Communications: An International Journal,ACM SIGCOMM Computer Communication Review,Computer Networks: The International Journal of Computer and Telecommunications Networking,Journal of Systems and Software,Computers and Electrical Engineering,MILCOM'06 Proceedings of the 2006 IEEE conference on Military communications,HICSS '07 Proceedings of the 40th Annual Hawaii International Conference on System Sciences,ACM SIGSOFT Software Engineering Notes,Mobile Networks and Applications
5," once students master the imperative programming paradigm , they find it hard to learn to work with a declarative language in order to help our students make the transition from imperative to pure declarative programming , we have identified many we have attempted to recast the semantics of commonly misunderstood data and control constructs in prolog in terms of the furthermore , in order to promote declarative rather than imperative programming in prolog , we have devised a set of we have found that these templates are helpful in teaching logic programming in our comparative programming languages unk this paper we will also present and analyze the templates we have developed to help our students make the transition from imperative finally , we will list some of the problems that our students have successfully solved over the years , as ", prolog for imperative programmers ,Journal of Computing Sciences in Colleges,Journal of Computing Sciences in Colleges,ACM SIGCSE Bulletin,ACM SIGPLAN Notices,Electronic Notes in Theoretical Computer Science (ENTCS),ACM SIGSOFT Software Engineering Notes,ACM SIGOPS Operating Systems Review,IEEE Transactions on Education,ACM SIGCHI Bulletin,Science of Computer Programming,ACM SIGSAM Bulletin,ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists,Communications of the ACM,Computers & Education,IEEE Software,Computer
6," a graph is said to be uniquely list colorable , if it admits a list assignment which induces a unique we study uniquely list colorable graphs with a restriction on the number of colors used . in this way , we generalize a theorem which characterizes uniquely unk colorable graphs . we introduce the uniquely list chromatic number of a graph and make a conjecture about it which is a generalization ", uniquely unk colorable graphs ,Discrete Applied Mathematics,Journal of Combinatorial Theory Series B,Discrete Applied Mathematics,Discrete Mathematics,European Journal of Combinatorics,"Combinatorics, Probability and Computing",Theoretical Computer Science,Journal of Combinatorial Theory Series A,Information Processing Letters,SIAM Journal on Discrete Mathematics,Advances in Applied Mathematics,Journal of Graph Theory,International Journal of Computer Mathematics,Journal of Algebraic Combinatorics: An International Journal,Operations Research Letters,Random Structures & Algorithms
7," as part of the effort to obtain accurate predictions of physical events , various parameter estimation techniques have been developed this study uses a bayesian estimation type error function . the newton-raphson optimization algorithm is used to find a simplified iterative algorithm that is used for finding a minimum extremum the study focuses largely on two items . first , in order to find a desired minimum of the error function , it is necessary to start the starting anywhere within this domain will result in finding the desired minimum . the unk unk of the convergence domain is usually very convoluted , thus making it more difficult to choose a a simple nonlinear example is studied to give a better picture of this problem . "," parameter estimation for nonlinear unk , data and parameter uncertainty , and constraints on parameter changes ",Mathematical and Computer Modelling: An International Journal,Computational Statistics & Data Analysis,Automatica (Journal of IFAC),Digital Signal Processing,Signal Processing,Mathematical and Computer Modelling: An International Journal,IEEE Transactions on Signal Processing,Computer Methods and Programs in Biomedicine,Applied Mathematics and Computation,Computers & Geosciences,International Journal of Systems Science,Expert Systems with Applications: An International Journal,Computers and Structures,Mathematics and Computers in Simulation,EURASIP Journal on Applied Signal Processing,Information Sciences: an International Journal
8," this article classifies all & unk ; δ ( q + 1 ) , δ & semi ; 3 , when q is a third power , the unk is the disjoint union of projected pg ( 5 , \sqrt this leads to a discrete spectrum for the small values of the deficiency δ of the corresponding maximal partial spreads "," results on maximal partial spreads in pg ( 3 , p3 ) and on related minihypers ","Designs, Codes and Cryptography","Designs, Codes and Cryptography",Journal of Combinatorial Theory Series A,Journal of Algebraic Combinatorics: An International Journal,European Journal of Combinatorics,Discrete Mathematics,Finite Fields and Their Applications,SIAM Journal on Discrete Mathematics,Discrete Applied Mathematics,IEEE Transactions on Information Theory,Journal of Combinatorial Theory Series B,Journal of Graph Theory,Fundamenta Informaticae,Advances in Applied Mathematics,Discrete & Computational Geometry,Information Sciences: an International Journal
9," we propose a novel method of video test bitstream for the h.264/avc decoder conformance test without using input image sequences although the bitstreams can be generated from encoding the natural or artificial image sequences by a reference video encoder , the proposed method employs the unk techniques to produce highly randomized video parameters in its bitstream . according to the experimental results , it substantially improves the function coverage and reduces the test time compared to those moreover , we can also generate the arbitrary bitstreams for stress test with the extreme values in the allowable ranges ", unk bitstream generation for h.264/avc decoder conformance test ,IEEE Transactions on Consumer Electronics,IEEE Transactions on Consumer Electronics,IEEE Transactions on Circuits and Systems for Video Technology,ICIP'09 Proceedings of the 16th IEEE international conference on Image processing,IEEE Transactions on Multimedia,Journal of Signal Processing Systems,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEICE - Transactions on Information and Systems,"ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing","IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Journal of Visual Communication and Image Representation,EURASIP Journal on Applied Signal Processing,IEEE Transactions on Image Processing,"Proceedings of the Conference on Design, Automation and Test in Europe",Multimedia Tools and Applications,Journal of Systems Architecture: the EUROMICRO Journal
